,债券代码,债券名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
0,123018,溢利转债,7.15,312.0,315.888,286.56,290.87,20.83,827.08,3.69,-,447750,1377079765.8,291.17,168905256,168905256,0.123018,深A,2023-07-21 15:34:48,2023-07-21
1,123201,纽泰转债,5.58,203.77,208.86,193.0,193.0,10.77,341.38,3.33,-,1194825,2443970929.426,193.0,713195000,713195000,0.123201,深A,2023-07-21 15:34:30,2023-07-21
2,128036,金农转债,5.51,156.7,168.358,148.092,148.092,8.183,669.78,46.4,-,974708,1567326181.781,148.517,228040966,228040966,0.128036,深A,2023-07-21 15:34:24,2023-07-21
3,123025,精测转债,4.1,213.6,219.384,204.918,205.38,8.42,181.99,8.59,-,561639,1206475861.163,205.18,659197154,659197154,0.123025,深A,2023-07-21 15:34:36,2023-07-21
4,113042,上银转债,3.73,112.78,121.013,108.613,108.676,4.052,0.25,0.44,-,50554,55116239.0,108.728,22554344954,22554344954,1.113042,沪A,2023-07-21 16:11:07,2023-07-21
5,123176,精测转2,3.48,164.583,167.443,158.201,159.049,5.534,23.68,5.51,-,302094,497488001.723,159.049,2100079080,2100079080,0.123176,深A,2023-07-21 15:34:09,2023-07-21
6,123198,金埔转债,3.0,127.2,134.88,124.5,124.999,3.7,265.15,21.54,-,1378758,1773348384.655,123.5,661440000,661440000,0.123198,深A,2023-07-21 15:34:24,2023-07-21
7,123194,百洋转债,2.6,134.563,136.024,130.864,131.151,3.415,4.58,6.12,-,39349,52941859.111,131.148,1157241800,1157241800,0.123194,深A,2023-07-21 15:34:06,2023-07-21
8,110068,龙净转债,2.58,186.731,190.4,180.9,180.9,4.702,12.16,1.47,-,228028,427025542.0,182.029,3502926229,3502926229,1.110068,沪A,2023-07-21 16:11:19,2023-07-21
9,123119,康泰转2,2.52,119.668,123.4,117.626,119.49,2.94,30.88,76.95,-,617426,743488322.448,116.728,2392615665,2392615665,0.123119,深A,2023-07-21 15:34:15,2023-07-21
10,111007,永和转债,2.34,150.643,156.89,145.922,146.7,3.448,126.43,3.6,-,1011309,1549145921.0,147.195,1205000889,1205000889,1.111007,沪A,2023-07-21 16:11:37,2023-07-21
11,123099,普利转债,2.31,127.0,128.403,124.55,124.55,2.872,16.46,18.94,-,139815,177693852.313,124.128,1079042800,1079042800,0.123099,深A,2023-07-21 15:34:21,2023-07-21
12,123127,耐普转债,2.17,136.5,142.0,133.99,133.99,2.9,44.25,9.68,-,176903,243851544.025,133.6,545672946,545672946,0.123127,深A,2023-07-21 15:34:21,2023-07-21
13,123080,海波转债,1.73,146.001,147.231,143.1,143.1,2.485,55.59,1.14,-,82801,120608098.958,143.516,217456809,217456809,0.123080,深A,2023-07-21 15:34:15,2023-07-21
14,123090,三诺转债,1.72,119.6,119.98,117.336,117.522,2.026,4.95,7.09,-,24694,29478554.952,117.574,596113310,596113310,0.123090,深A,2023-07-21 15:34:06,2023-07-21
15,123171,共同转债,1.63,116.978,117.1,114.963,115.19,1.878,14.15,2.27,-,53751,62431736.558,115.1,444502129,444502129,0.123171,深A,2023-07-21 15:35:03,2023-07-21
16,110061,川投转债,1.6,178.915,180.302,176.0,176.0,2.823,1.49,1.59,-,51886,92886707.0,176.092,6226191904,6226191904,1.110061,沪A,2023-07-21 16:11:25,2023-07-21
17,113657,再22转债,1.59,112.806,113.147,110.935,111.035,1.771,3.82,2.74,-,19458,21900694.0,111.035,575295935,575295935,1.113657,沪A,2023-07-21 16:11:28,2023-07-21
18,113615,金诚转债,1.48,278.575,285.493,271.072,273.01,4.053,10.64,0.95,-,81259,227404826.0,274.522,2127805994,2127805994,1.113615,沪A,2023-07-21 16:11:19,2023-07-21
19,111014,李子转债,1.43,137.3,139.468,134.51,136.8,1.938,70.48,1.38,-,422888,581992161.0,135.362,823800000,823800000,1.111014,沪A,2023-07-21 16:11:04,2023-07-21
20,127014,北方转债,1.33,212.188,217.0,211.576,215.931,2.788,32.54,1.79,-,173715,371819932.866,209.4,1132813380,1132813380,0.127014,深A,2023-07-21 15:34:21,2023-07-21
21,113582,火炬转债,1.26,154.863,155.868,152.086,152.5,1.922,18.31,0.84,-,76411,117868435.0,152.941,646288209,646288209,1.113582,沪A,2023-07-21 16:11:13,2023-07-21
22,113598,法兰转债,1.21,153.892,156.495,150.9,153.495,1.839,15.47,2.1,-,42580,65747440.0,152.053,423562646,423562646,1.113598,沪A,2023-07-21 16:11:19,2023-07-21
23,128127,文科转债,1.21,106.8,107.43,105.528,105.528,1.274,7.91,5.13,-,75119,80033674.458,105.526,1013791204,1013791204,0.128127,深A,2023-07-21 15:34:09,2023-07-21
24,128044,岭南转债,1.18,119.17,119.444,117.159,117.899,1.395,8.36,1.56,-,54884,65026510.82,117.775,782604763,782604763,0.128044,深A,2023-07-21 15:34:15,2023-07-21
25,127035,濮耐转债,1.06,118.6,118.62,117.59,117.65,1.249,3.3,4.16,-,20638,24391469.827,117.351,742631571,742631571,0.127035,深A,2023-07-21 15:34:30,2023-07-21
26,113610,灵康转债,1.05,107.937,108.245,106.717,107.006,1.125,2.19,3.12,-,10033,10792050.0,106.812,494193872,494193872,1.113610,沪A,2023-07-21 16:11:43,2023-07-21
27,128030,天康转债,1.04,230.83,231.871,226.238,227.139,2.367,15.78,1.05,-,12569,28893065.777,228.463,183836705,183836705,0.128030,深A,2023-07-21 15:34:18,2023-07-21
28,123059,银信转债,1.02,134.765,137.229,131.985,132.7,1.365,216.23,0.59,-,845915,1145507508.132,133.4,527218199,527218199,0.123059,深A,2023-07-21 15:34:57,2023-07-21
29,128091,新天转债,1.02,158.5,160.8,155.387,156.586,1.6,44.01,0.59,-,67039,105808645.458,156.9,241464131,241464131,0.128091,深A,2023-07-21 15:34:39,2023-07-21
30,128095,恩捷转债,1.01,145.45,145.498,140.522,143.5,1.45,27.89,0.69,-,126421,181428837.926,144.0,659281360,659281360,0.128095,深A,2023-07-21 15:34:42,2023-07-21
31,113030,东风转债,0.94,123.747,124.165,122.461,122.461,1.147,9.3,2.1,-,27418,33896770.0,122.6,364840805,364840805,1.113030,沪A,2023-07-21 16:11:07,2023-07-21
32,128106,华统转债,0.93,218.0,223.817,215.392,216.3,2.0,60.16,1.12,-,172602,378752073.781,216.0,625438730,625438730,0.128106,深A,2023-07-21 15:34:48,2023-07-21
33,123189,晓鸣转债,0.92,121.02,121.5,119.8,120.0,1.1,7.1,1.48,-,23353,28186808.429,119.92,398155800,398155800,0.123189,深A,2023-07-21 15:34:12,2023-07-21
34,123179,立高转债,0.91,117.636,117.98,116.016,116.522,1.056,1.06,1.69,-,10078,11838016.488,116.58,1117542000,1117542000,0.123179,深A,2023-07-21 15:34:06,2023-07-21
35,127071,天箭转债,0.9,127.354,127.496,125.6,126.021,1.133,4.42,0.91,-,21890,27734833.577,126.221,630345500,630345500,0.127071,深A,2023-07-21 15:34:51,2023-07-21
36,123048,应急转债,0.9,127.99,127.99,126.949,127.352,1.138,2.68,0.36,-,10167,12973070.72,126.852,485081588,485081588,0.123048,深A,2023-07-21 15:34:45,2023-07-21
37,127020,中金转债,0.89,137.8,140.829,135.53,135.895,1.222,5.17,0.74,-,156315,216259344.189,136.578,4165251800,4165251800,0.127020,深A,2023-07-21 15:34:42,2023-07-21
38,123175,百畅转债,0.88,123.563,124.3,121.85,122.151,1.072,6.11,0.35,-,25679,31643269.796,122.491,518964600,518964600,0.123175,深A,2023-07-21 15:34:06,2023-07-21
39,110048,福能转债,0.85,166.336,167.483,163.38,164.0,1.397,2.12,0.47,-,27029,44897913.0,164.939,2122676904,2122676904,1.110048,沪A,2023-07-21 16:11:37,2023-07-21
40,123038,联得转债,0.84,152.688,157.944,150.95,151.416,1.272,224.41,0.56,-,330364,508570046.279,151.416,224780861,224780861,0.123038,深A,2023-07-21 15:34:48,2023-07-21
