,债券名称,债券代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,蓝晓转02,123195,2023-12-08 09:31,121.804,121.769,122.04,121.5,210,255727.0,0.44,0.18,0.219,0.04
1,蓝晓转02,123195,2023-12-08 09:32,121.79,121.6,121.793,121.592,131,159384.0,0.17,-0.14,-0.169,0.02
2,蓝晓转02,123195,2023-12-08 09:33,121.799,121.54,121.799,121.502,108,131304.0,0.24,-0.05,-0.06,0.02
3,蓝晓转02,123195,2023-12-08 09:34,121.54,121.7,121.7,121.54,24,29188.0,0.13,0.13,0.16,0.0
4,蓝晓转02,123195,2023-12-08 09:35,121.78,121.756,121.78,121.755,55,66957.0,0.02,0.05,0.056,0.01
5,蓝晓转02,123195,2023-12-08 09:36,121.79,121.633,121.79,121.62,46,55976.0,0.14,-0.1,-0.123,0.01
6,蓝晓转02,123195,2023-12-08 09:37,121.62,121.683,121.701,121.55,87,105823.0,0.12,0.04,0.05,0.02
7,蓝晓转02,123195,2023-12-08 09:38,121.68,121.8,121.8,121.68,59,71805.0,0.1,0.1,0.117,0.01
8,蓝晓转02,123195,2023-12-08 09:39,121.799,121.788,121.799,121.689,43,52341.0,0.09,-0.01,-0.012,0.01
9,蓝晓转02,123195,2023-12-08 09:40,121.788,121.764,121.788,121.764,40,48703.0,0.02,-0.02,-0.024,0.01
10,蓝晓转02,123195,2023-12-08 09:41,121.761,121.721,121.761,121.721,20,24350.0,0.03,-0.04,-0.043,0.0
11,蓝晓转02,123195,2023-12-08 09:42,121.722,121.618,121.722,121.609,76,92452.0,0.09,-0.08,-0.103,0.01
12,蓝晓转02,123195,2023-12-08 09:43,121.699,121.737,121.749,121.699,8,9737.0,0.04,0.1,0.119,0.0
13,蓝晓转02,123195,2023-12-08 09:44,121.738,121.749,121.749,121.738,9,10956.0,0.01,0.01,0.012,0.0
14,蓝晓转02,123195,2023-12-08 09:45,121.749,121.844,121.844,121.749,57,69425.0,0.08,0.08,0.095,0.01
15,蓝晓转02,123195,2023-12-08 09:46,121.888,121.928,121.94,121.8,27,32912.0,0.11,0.07,0.084,0.0
16,蓝晓转02,123195,2023-12-08 09:47,121.928,121.9,121.928,121.704,32,38998.0,0.18,-0.02,-0.028,0.01
17,蓝晓转02,123195,2023-12-08 09:48,121.9,121.73,121.926,121.717,46,55552.0,0.17,-0.14,-0.17,0.01
18,蓝晓转02,123195,2023-12-08 09:49,121.731,121.926,121.926,121.731,11,13404.0,0.16,0.16,0.196,0.0
19,蓝晓转02,123195,2023-12-08 09:50,121.926,121.803,121.94,121.803,44,53635.0,0.11,-0.1,-0.123,0.01
20,蓝晓转02,123195,2023-12-08 09:51,121.94,121.92,121.94,121.776,47,57281.0,0.13,0.1,0.117,0.01
